ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0050900,leukocyte migration,128/1424,459/21338,0.2788671023965142,4.178698195882598,18.40955169981787,4.7271024465519524e-46,2.617396624655816e-42,1.8361061081870216e-42,CD99/ITGA3/CCL26/SELE/ALOX5/CD74/ARHGEF5/CNN2/SPI1/B4GALT1/ICAM1/HSD3B7/HMOX1/RIN3/HCK/CCL22/PYCARD/TGFB1/SERPINE1/RARRES2/GATA3/CXCL12/CCL7/CCL2/CCL8/CRTAM/CD69/SELPLG/ADTRP/BMP5/PERP/THBS4/CCL20/IL1R1/SLAMF1/CSF3R/DUSP1/PTK2B/CCR2/CXCR4/NCKAP1L/TNFAIP6/EDN3/XG/TREM1/CXCL6/IL1B/C3/TNFSF14/ADGRE2/RAC2/RIPK3/FOXJ1/LBP/GDF15/LGALS3/SWAP70/LYVE1/C5AR2/ANXA1/ITGA7/IL6/MYO1G/IL10/THBS1/CYP19A1/EMILIN1/CH25H/TNFRSF11A/VAV1/TRPM2/NLRP12/ECM1/S100A8/VEGFC/ADAM8/CXCL13/MMP14/TNFRSF14/SLAMF8/F11R/FCER1G/AIRE/ITGB2/CCR5/CXCL16/VCAM1/S100A9/S100A12/CXCR1/ADORA1/CD200R1/IL17RC/CXCL3/CXCL5/PPBP/CCR1/ITGA2/F2RL1/CXCL10/CXCL11/CXCL8/GPR183/PDGFD/FPR2/PTGER4/C3AR1/CCL19/SAA1/CMKLR1/CHST2/CCL13/CSF1R/LCK/GAS6/CSF1/CXCR3/TNFRSF18/GCNT1/SELL/C5AR1/ELANE/DPP4/AIF1/CD177/GPSM3/LYN/CCL5,128
GO:0060326,cell chemotaxis,105/1424,384/21338,0.2734375,4.097338044241573,16.378086904336662,5.194207246904901e-37,1.4380162763056219e-33,1.0087697232146888e-33,CCL26/ALOX5/CD74/ARHGEF5/SPI1/CXCL2/NRP1/HSD3B7/RIN3/CCL22/HSPB1/SERPINE1/RARRES2/ENG/CXCL12/CCL7/CCL2/CCL8/PERP/HBEGF/LOX/THBS4/FGF1/CCL20/SLAMF1/CSF3R/DUSP1/PTK2B/CCR2/CXCR4/NCKAP1L/TNFAIP6/EDN3/TREM1/CXCL6/IL1B/C3/TNFSF14/ADGRE2/RAC2/LBP/LGALS3/SWAP70/C5AR2/ANXA1/IL6/IL10/THBS1/CYP19A1/CH25H/TNFRSF11A/VAV1/TRPM2/EPHA2/RAB13/S100A8/AGTR1/CXCL14/TPBG/VEGFC/ADAM8/CXCL13/SLAMF8/FCER1G/ITGB2/CCR5/CXCL16/VCAM1/S100A9/S100A12/CXCR1/IL17RC/CXCL3/CXCL5/PPBP/CXCL1/CCR1/PRKCD/F2RL1/CXCL10/CXCL11/CXCL8/GPR183/HOXB9/PDGFD/FPR2/C3AR1/CCL19/SAA1/XCR1/CMKLR1/EGR3/CCL13/CSF1R/GAS6/CCR4/CSF1/CXCR3/C5AR1/DPP4/AIF1/GPSM3/LYN/CCL5/CCL18,105
GO:0070661,leukocyte proliferation,108/1424,461/21338,0.23427331887201736,3.5104803919179113,14.571882901233735,1.5297647035179303e-31,2.117576790844695e-28,1.4854820410476746e-28,CD4/TYROBP/CD6/SLC11A1/CD74/SH2D2A/TNFRSF1B/TNFRSF9/CNN2/FGF10/FCGR2B/FOSL2/PTPRC/CD209/CSF2RB/CD40/NFATC2/ELF4/TNFSF13B/PYCARD/CD37/LILRB1/RASAL3/TGFB1/TNFSF8/CCL8/CRTAM/TCIRG1/PTPN6/PRLR/CD86/IL1A/SLAMF1/TNFSF4/TNFAIP3/CD274/CLU/CCR2/SASH3/NCKAP1L/SDC4/CDKN1A/IRF1/IL1B/CD70/TNFSF14/STAT5A/PLA2G5/TICAM1/RAC2/TWSG1/RIPK3/FOXJ1/BST2/LILRB2/IDO1/LGALS3/PTPN22/IL2RA/DOCK2/ANXA1/HAVCR2/GPNMB/IL6/IL10/ERBB2/VAV1/NFKBIZ/IL18/VSIG4/TNFRSF14/CD1D/IKZF3/TNFSF13/LAPTM5/VCAM1/TGFBR2/MNDA/CTLA4/PRKCD/IL15/F2RL1/SHH/STAT6/IL7R/GPR183/MZB1/JUNB/CEBPB/CCL19/CLCF1/GAPT/CD151/CSF1R/CSF1/PLA2G2A/HLA-DRB1/PDCD1LG2/CD3E/CR1/FCGR3A/AIF1/HLA-E/HLA-DPB1/HLA-DMB/LYN/RASSF5/CCL5,108
GO:0002685,regulation of leukocyte migration,80/1424,274/21338,0.291970802919708,4.3750512589190516,15.035838535359224,1.4654756766580982e-30,1.622867764331178e-27,1.1384432098670279e-27,CD99/SELE/CD74/CNN2/SPI1/ICAM1/HMOX1/RIN3/PYCARD/TGFB1/SERPINE1/RARRES2/CXCL12/CCL7/CCL2/CCL8/CD69/ADTRP/BMP5/PERP/THBS4/CCL20/IL1R1/SLAMF1/DUSP1/PTK2B/CCR2/NCKAP1L/TNFAIP6/EDN3/XG/TNFSF14/RAC2/RIPK3/LBP/GDF15/LGALS3/SWAP70/LYVE1/C5AR2/ANXA1/IL6/THBS1/CYP19A1/EMILIN1/ECM1/VEGFC/ADAM8/CXCL13/MMP14/TNFRSF14/SLAMF8/AIRE/ADORA1/CD200R1/CCR1/ITGA2/F2RL1/CXCL10/CXCL8/PDGFD/FPR2/PTGER4/C3AR1/CCL19/CMKLR1/CHST2/CSF1R/GAS6/CSF1/CXCR3/TNFRSF18/GCNT1/C5AR1/ELANE/DPP4/AIF1/GPSM3/LYN/CCL5,80
GO:0002274,myeloid leukocyte activation,86/1424,317/21338,0.27129337539432175,4.065209300676992,14.70298457183153,3.4158485385089675e-30,3.1522588929540256e-27,2.2113124749294898e-27,MCUB/TYROBP/SLC11A1/CD74/LCP2/SPI1/IFI35/FCGR2B/IL4R/CST7/PTPRC/FOXF1/PYCARD/NDRG1/RELB/CD37/TGFB1/CD33/CTSC/LTBR/PTPN6/FN1/IL1RL1/IL18RAP/CD2/SLAMF1/MMP8/VAMP8/CLU/CCR2/NMI/CXCL6/NR1D1/ADGRE2/TICAM1/RAC2/LBP/PRAM1/DOCK2/ANXA1/HAVCR2/IL6/IL10/THBS1/CALHM2/TSLP/IL18/VSIG4/BATF/FCER1G/ITGB2/S100A12/TGFBR2/ZC3H12A/PRKCD/CAMP/IL15/F2RL1/IL31RA/CLEC4D/BATF2/RHOH/SCNN1B/ADAM9/CXCL8/ITGAM/FPR2/CLEC12A/C1QA/FCER1A/FES/CSF1/TAFA3/CD300LF/FCAR/PLA2G2A/PLSCR1/S100A13/C5AR1/PLCG2/FCGR3A/AIF1/CD177/LYN/CCL5/MILR1,86
GO:0030198,extracellular matrix organization,94/1424,385/21338,0.24415584415584415,3.658565591711659,14.076576982329026,4.981760940284865e-29,3.448001290794662e-26,2.4187760354804147e-26,TNFRSF1B/IBSP/TNFRSF1A/BCL3/FBLN1/FAP/B4GALT1/ADAMTS2/LAMB1/PAPLN/CST3/CRISPLD2/FOXF1/TGFB1/HAS1/COMP/CAV1/AEBP1/ECM2/ENG/SPOCK2/COL1A1/COL12A1/ADTRP/NR2E1/LOX/NID1/MMP8/TGFBI/FMOD/MMP19/LOXL1/COL5A1/POSTN/LOXL2/IL6/MMP7/MMP13/CYP1B1/EMILIN1/LOXL4/ADAMTS14/SLC39A8/LUM/FBLN5/FURIN/COL6A1/CCN1/DPT/SFRP2/SERPINH1/P4HA3/MMP3/ADAMTS12/ADAM8/DMP1/ADAMTS1/MMP14/CREB3L1/RUNX1/PDPN/DDR2/OLFML2B/CTSS/ELF3/PTX3/ITGA2/EGFLAM/COL1A2/TNFRSF11B/SPINT1/MFAP4/MMP10/COL3A1/NPNT/COL8A2/LAMB2/TPSAB1/EFEMP2/COL6A5/FOXC2/ANXA2/GAS6/COL14A1/LAMA2/MMP1/SLC2A10/ELANE/COL4A6/DPP4/EGFL6/COL5A2/C6orf15/VIT,94
GO:0046651,lymphocyte proliferation,96/1424,412/21338,0.23300970873786409,3.4915457619722923,13.655788681653897,6.213583929786642e-28,2.8670511849357197e-25,2.0112390088519922e-25,CD4/TYROBP/CD6/SLC11A1/CD74/SH2D2A/TNFRSF1B/TNFRSF9/FGF10/FCGR2B/FOSL2/PTPRC/CD209/CD40/NFATC2/ELF4/TNFSF13B/PYCARD/CD37/LILRB1/RASAL3/TGFB1/TNFSF8/CRTAM/PTPN6/PRLR/CD86/IL1A/SLAMF1/TNFSF4/CD274/CCR2/SASH3/NCKAP1L/SDC4/CDKN1A/IRF1/IL1B/CD70/TNFSF14/STAT5A/PLA2G5/TICAM1/RAC2/TWSG1/RIPK3/FOXJ1/LILRB2/IDO1/LGALS3/PTPN22/IL2RA/DOCK2/ANXA1/HAVCR2/GPNMB/IL6/IL10/ERBB2/VAV1/NFKBIZ/IL18/VSIG4/TNFRSF14/CD1D/IKZF3/TNFSF13/LAPTM5/VCAM1/TGFBR2/MNDA/CTLA4/PRKCD/IL15/SHH/IL7R/GPR183/MZB1/CEBPB/CCL19/CLCF1/GAPT/CD151/PLA2G2A/HLA-DRB1/PDCD1LG2/CD3E/CR1/FCGR3A/AIF1/HLA-E/HLA-DPB1/HLA-DMB/LYN/RASSF5/CCL5,96
GO:0070663,regulation of leukocyte proliferation,92/1424,387/21338,0.23772609819121446,3.5622187382051504,13.602280578308989,1.6860360000702354e-27,7.181216409529918e-25,5.037629830169367e-25,CD4/TYROBP/CD6/CD74/TNFRSF1B/TNFRSF9/CNN2/FGF10/FCGR2B/PTPRC/CD209/CSF2RB/CD40/NFATC2/TNFSF13B/PYCARD/CD37/LILRB1/RASAL3/TGFB1/TNFSF8/CCL8/CRTAM/PTPN6/PRLR/CD86/IL1A/SLAMF1/TNFSF4/TNFAIP3/CD274/CCR2/SASH3/NCKAP1L/SDC4/CDKN1A/IRF1/IL1B/CD70/STAT5A/PLA2G5/TICAM1/RAC2/TWSG1/RIPK3/FOXJ1/BST2/LILRB2/IDO1/LGALS3/PTPN22/IL2RA/ANXA1/HAVCR2/GPNMB/IL6/IL10/ERBB2/IL18/VSIG4/TNFRSF14/CD1D/IKZF3/TNFSF13/LAPTM5/VCAM1/TGFBR2/MNDA/CTLA4/IL15/SHH/STAT6/GPR183/MZB1/CEBPB/CCL19/CLCF1/CSF1R/CSF1/PLA2G2A/HLA-DRB1/PDCD1LG2/CD3E/CR1/FCGR3A/AIF1/HLA-E/HLA-DPB1/HLA-DMB/LYN/RASSF5/CCL5,92
GO:0030217,T cell differentiation,89/1424,379/21338,0.23482849604221637,3.5187994722955147,13.230319790405687,3.1731340671005274e-26,1.235009122280052e-23,8.663600203821928e-24,CD4/CD74/TNFRSF9/PRDM1/SPI1/BCL3/GLI2/FOSL2/IL4R/PTPRC/LGALS1/RELB/TGFB1/JAK3/TNFSF8/GATA3/CRTAM/TCIRG1/CD69/VNN1/CD86/IL1A/IL18R1/CD2/TNFSF4/EGR1/CCR2/SASH3/NCKAP1L/PCK1/RUNX2/IRF1/IL1B/STAT5A/RIPK3/FOXJ1/LILRB2/PTPN22/RSAD2/IL2RA/DOCK2/ANXA1/CTSL/IL6/HLX/IL36B/STAT4/GPR65/ERBB2/VAV1/NFKBIZ/IL2RG/IL18/ADAM8/MR1/FZD7/BATF/CD1D/FCER1G/RUNX1/AIRE/CD3G/IKZF3/NLRP3/SLAMF6/TGFBR2/CTLA4/ZC3H12A/IL15/SHH/CLEC4D/STAT6/CD3D/RHOH/IL7R/GPR183/JUNB/PTGER4/CCL19/EGR3/LCK/SOCS3/SOCS1/HLA-DRB1/CD3E/CR1/MAFB/HLA-DOA/HLA-DRA,89
GO:0050729,positive regulation of inflammatory response,66/1424,222/21338,0.2972972972972973,4.45486638323717,13.837076377203601,6.54674921422969e-26,2.2655843999493623e-23,1.589309513191287e-23,CASP8/TNFRSF1A/IFI35/PTGS2/MGST2/OSM/LGALS1/PYCARD/CCN4/GSDMD/TGFB1/NKG7/SERPINE1/MAP3K8/CCL7/CTSC/GZMK/IL1RL1/GBP3/GBP1/TNFSF4/MMP8/VAMP8/CCR2/NMI/IL1B/C3/STAT5A/LBP/IDO1/IL6/TLR2/CASP1/CASP5/TNFRSF11A/NLRP12/S100A8/NFKBIZ/AGTR1/OSMR/TSLP/FCGR1A/IL18/ADAM8/GBP5/MAPK13/FCER1G/NLRP3/S100A9/S100A12/CCR1/IL15/PTGER4/CEBPB/NLRP6/NUPR1/TAFA3/LILRA5/PLA2G2A/TLR7/CASP4/PLCG2/C2CD4A/HLA-E/GPSM3/CCL5,66
