category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,102/850,298/9416,0.3422818791946309,3.791677852348993,15.426032046019936,4.7991586576818224e-35,1.5597265637465923e-32,1.1568498237990921e-32,TNFRSF12A/CCL26/IL32/CD4/IL20RA/FAS/TNFRSF1B/TNFRSF9/TNFRSF1A/IL4R/CXCL2/IL11/OSM/CSF2RB/IL2RB/CD40/TNFSF13B/CCL22/IL21R/TNFRSF10A/TGFB1/TNFSF8/CXCL12/CSF3/CCL7/CCL2/CCL8/IL10RA/LTBR/BMP5/PRLR/IL1A/CCL20/IL1R2/IL1R1/IL1RL1/IL18R1/IL18RAP/TNFSF4/CSF3R/TGFB3/TNFRSF8/CCR2/TNFSF10/CXCR4/CXCL6/IL1B/CD70/TNFSF14/GDF5/LIF/GDF15/EDA2R/IL13RA1/NGF/IL2RA/IL15RA/IL6/IL10/IL1RN/IL36B/TNFRSF11A/IL22RA1/OSMR/TSLP/CXCL14/IL2RG/CTF1/IL18/CXCL13/TNFRSF14/CCR5/CXCL16/TNFSF13/CXCR1/TGFBR2/IL17RC/CXCL3/CXCL5/PPBP/CXCL1/CCR1/IL15/IL31RA/TNFRSF11B/IL7R/CXCL10/CXCL11/CXCL8/CCL19/TNFRSF10C/XCR1/CLCF1/CCL13/CSF1R/CCR4/CSF1/CXCR3/TNFRSF18/TNFSF12/CCL5/CCL18,102
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,51/850,100/9416,0.51,5.6495999999999995,14.724191009346827,1.8187350531140916e-27,2.955444461310399e-25,2.1920543534901422e-25,CCL26/IL20RA/TNFRSF1B/TNFRSF1A/CXCL2/IL2RB/CCL22/TNFRSF10A/CXCL12/CCL7/CCL2/CCL8/IL10RA/LTBR/CCL20/IL18R1/IL18RAP/CCR2/TNFSF10/CXCR4/CXCL6/TNFSF14/IL2RA/IL6/IL10/IL22RA1/CXCL14/IL2RG/IL18/CXCL13/TNFRSF14/CCR5/CXCR1/CXCL3/CXCL5/PPBP/CXCL1/CCR1/CXCL10/CXCL11/CXCL8/CCL19/TNFRSF10C/XCR1/CCL13/CSF1R/CCR4/CSF1/CXCR3/CCL5/CCL18,51
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,42/850,95/9416,0.4421052631578947,4.897486068111455,12.026678739238303,8.592016727639359e-20,9.308018121609305e-18,6.903760809226012e-18,CXCL2/ICAM1/IL11/TNFSF13B/ACP5/TGFB1/CXCL12/CCL2/TCIRG1/CD86/IL1A/CCL20/TGFB3/CXCL6/IL1B/CTSL/IL6/TLR2/TNFRSF11A/MMP3/IL18/ANGPT1/ITGB2/TNFSF13/CTLA4/CXCL3/CXCL5/CXCL1/IL15/CXCL8/HLA-DQB1/CSF1/HLA-DRB1/MMP1/HLA-DQA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DMB/CCL5,42
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,43/850,100/9416,0.43,4.7633882352941175,11.917766521593096,1.156584537409342e-19,9.397249366450905e-18,6.969943659651036e-18,ITGA3/CD4/CD44/IL4R/IL11/CD37/CD33/CSF3/IL1A/IL1R2/IL1R1/CD2/CSF3R/IL1B/IL2RA/IL6/FCGR1A/CD1D/CD1C/CD3G/ITGA5/ITGA2/ANPEP/CD3D/IL7R/ITGAM/CD14/CD8B/CD7/HLA-DQB1/CSF1R/CSF1/HLA-DRB1/MME/HLA-DQA1/CD3E/CR1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DMB,43
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,49/850,142/9416,0.34507042253521125,3.822568351284175,10.675437542355207,2.001011787031013e-17,1.3006576615701584e-15,9.646983141686358e-16,TYROBP/LCP2/CYBA/SPI1/TNFRSF1A/FCGR2B/FOSL2/SIRPG/ITPR3/NCF4/NFATC2/SIRPB1/ACP5/RELB/LILRB1/TGFB1/LILRB5/IL1A/IL1R1/FHL2/NCF2/IL1B/FOSB/LILRB2/TEC/TNFRSF11A/FCGR2A/FCGR1A/MAPK13/NCF1/SQSTM1/TGFBR2/TNFRSF11B/OSCAR/JUNB/FOSL1/CSF1R/LCK/CSF1/SOCS3/SOCS1/LILRA5/PLCG2/FCGR3A/LILRB3/LOC102725035/LOC107987425/LOC107987462/LILRA6,49
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,36/850,89/9416,0.4044943820224719,4.480846001321877,10.392963802969938,1.220747047623893e-15,6.612379841296087e-14,4.904404805366168e-14,CFH/PLAUR/C6/PROCR/SERPINE1/ADTRP/C7/F3/CLU/PLAU/C4BPA/F13A1/C3/SERPING1/VSIG4/C1QC/C1R/ITGB2/F2RL2/C2/BDKRB2/ITGAM/C3AR1/C1QB/C1QA/A2M/THBD/C1S/PROS1/SERPINA5/SERPINA1/C5AR1/CFD/CR1/CFI/CFB,36
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,37/850,99/9416,0.37373737373737376,4.140130718954248,9.893680172027851,9.943039569352386e-15,4.616411228627893e-13,3.423994077265709e-13,CFH/FCGR2B/ICAM1/SELPLG/KRT18/C3/IL10/FCGR2A/FCGR1A/C1QC/C1R/ITGB2/CAMP/C2/ITGAM/FPR2/FPR1/C3AR1/C1QB/C1QA/HLA-DQB1/C1S/FCAR/FPR3/HLA-DRB1/HLA-DQA1/C5AR1/CFD/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/CFI/HLA-DPB1/HLA-DQB2/HLA-DMB/CFB,37
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,40/850,119/9416,0.33613445378151263,3.723578843302027,9.418301893049666,5.130393423968493e-14,2.0842223284872003e-12,1.5458685448536646e-12,SELE/BIRC3/FAS/TNFRSF1B/CASP8/TNFRSF1A/BCL3/PTGS2/CXCL2/ICAM1/MAP3K8/CCL2/CCL20/IL18R1/TNFAIP3/CXCL6/IRF1/IL1B/LIF/RIPK3/RHBDF2/IL6/MMP3/VEGFC/MAPK13/MMP14/CREB3L1/VCAM1/CXCL3/CXCL5/CXCL1/IL15/NOD2/MLKL/CXCL10/JUNB/CEBPB/CSF1/SOCS3/CCL5,40
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,31/850,78/9416,0.3974358974358974,4.402654600301659,9.505365546683867,2.1198475102852128e-13,7.655004898252157e-12,5.677720232225892e-12,NOS2/CYBA/PTGS2/NCF4/TGFB1/PTPN6/IL1A/NCF2/TGFB3/IL1B/C3/IL10/TLR2/FCGR2A/FCGR1A/MAPK13/NCF1/ITGB2/CYBB/ITGAM/HLA-DQB1/HLA-DRB1/HLA-DQA1/CR1/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DMB,31
Cellular Processes,Transport and catabolism,hsa04145,Phagocytosis,62/850,259/9416,0.23938223938223938,2.6517919600272544,8.491007272210036,3.5339827183633723e-13,1.148544383468096e-11,8.51875834216013e-12,MRC2/LTF/MARCO/MSR1/CYBA/RAB27A/FCGR2B/ITGB5/FCN1/LYZ/CD209/NCF4/COMP/TCIRG1/THBS4/NCF2/COLEC11/MMP8/C3/RAC2/SEC61G/CTSL/CD63/TLR2/THBS1/FCN3/FCGR2A/TIMD4/LCN2/FCGR1A/PLA2R1/COLEC12/NCF1/ITGB2/ITGA5/CTSS/ITGA2/CTSB/CYBB/DYNLT3/ANPEP/DYNLRB2/ITGAM/CD14/CLEC7A/HLA-DQB1/FCAR/HLA-DRB1/HLA-DQA1/ELANE/MAP1LC3C/CR1/FCGR3A/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-DPB1/HLA-DQB2/HLA-DMB/MRC1,62
