ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0021953,central nervous system neuron differentiation,53/1039,262/21338,0.20229007633587787,4.154442395433072,11.622947664947487,5.327455723510951e-19,1.24180715611321e-15,1.0364967828939687e-15,LRP6/MAP2/OPHN1/LHX5/CBLN1/SFRP1/DLX5/B4GALT6/LHX4/NPY/NEUROD4/NKX2-2/BMP2/BCL11B/FOXP2/MNX1/EPHB2/NKX2-1/LBX1/ASCL1/FOXN4/MDGA2/NFIB/DRD2/POU4F1/GRID2/PRDM8/EPHB1/CHRNB2/ELAVL4/BRINP3/NEUROD1/TBX20/UNCX/GBX2/RAC3/GSX1/SEMA3E/OTP/TTC36/DAB1/BRSK2/NHLH2/ERBB4/NRXN1/EPHB3/PTCH1/MAPT/DCC/HES5/OLIG2/SKOR2/LHX1,53
GO:0060078,regulation of postsynaptic membrane potential,42/1039,167/21338,0.25149700598802394,5.165007809213143,12.224764459854619,5.458701861486327e-19,1.24180715611321e-15,1.0364967828939687e-15,GABRA3/SEZ6/PRKCZ/RIMS1/CHRNA3/P2RX7/STX1B/SLC8A3/NTSR1/CHRNA4/CELF4/GLRA2/CBLN1/P2RX3/CUX2/GABRG2/SLC8A2/GRIA2/GLRA3/DRD2/GRID2/GRIA4/CHRNB2/SHANK1/SLC1A7/GRIK3/GRIK2/HCN1/GABRB3/NETO1/CHRM1/GRM5/RIMS2/NRXN1/RGS7/KCTD16/KCND2/RGS7BP/LRRK2/RELN/GRIN3A/GRIN2B,42
GO:0007416,synapse assembly,58/1039,312/21338,0.1858974358974359,3.8177858394412776,11.343421759010738,7.928115489124559e-19,1.24180715611321e-15,1.0364967828939687e-15,GABRA3/CRMP1/SIX4/CBLN1/PTPRS/NECTIN1/CUX2/GABRG2/CSMD2/RAP2A/FLRT3/FLRT1/SIX1/LRRC4/EPHB2/ADGRB3/ST8SIA2/LRRTM2/DRD2/ADGRL3/POU4F1/GRID2/PTPRD/EPHB1/LHFPL4/CLSTN2/CHRNB2/SHANK2/LRRTM1/BSN/SLITRK5/LRFN5/LRTM2/GABRB3/CASKIN1/IL1RAPL1/RAC3/DSCAM/NEGR1/SPTBN2/LINGO2/LRRN1/LRRTM4/SLITRK1/ERBB4/SLITRK4/NRXN1/ADGRB1/EPHB3/SLITRK2/PCLO/CARMIL3/MAPT/SLIT1/RELN/NTNG2/DNM3/LRRTM3,58
GO:0050803,regulation of synapse structure or activity,63/1039,367/21338,0.17166212534059946,3.525434485580088,11.040702285235794,1.6095835473870166e-18,1.8908582722928976e-15,1.5782390256747433e-15,CRMP1/CTTNBP2/PAK3/IGSF9/SLC17A6/STX1B/SIX4/RPS6KA5/CBLN1/PTPRS/NECTIN1/CUX2/RAP2A/FLRT3/FLRT1/SIX1/C1QL1/EPHB2/ADGRB3/ST8SIA2/LRRTM2/DRD2/CDH8/GRID2/PTPRD/EPHB1/LRFN2/LHFPL4/CLSTN2/CHRNB2/LRRTM1/CAMKV/SLITRK5/LRFN5/LRTM2/CASKIN1/IL1RAPL1/RAC3/ZNF804A/NEUROD2/NEGR1/DAB1/LINGO2/LRRN1/LRRTM4/CDK5R1/SLITRK1/SLC17A8/SLITRK4/NRXN1/ADGRB1/EPHB3/SLITRK2/CARMIL3/SLIT1/SLC18A3/LRRK2/RELN/NTNG2/LRRTM3/PDXP/GRIN2B/SRCIN1,63
GO:0007409,axonogenesis,75/1039,500/21338,0.15,3.0805582290664097,10.650597953261686,2.51142569058726e-18,2.3602378640139068e-15,1.9700151838164488e-15,ETV1/CELSR3/CNTN1/NRXN3/FSTL4/NTN4/PAK3/MAP2/OPHN1/SEMA5B/IGSF9/EFNA2/RPS6KA5/PTPRS/RAB3A/DLX5/HOXA2/NECTIN1/UNC5A/VAX2/TNR/STMN1/B4GALT6/BCL11A/LHX4/FLRT3/BCL11B/ATP8A2/EPHB2/CNTN6/NKX2-1/ARK2C/SEMA6C/CNTN4/NFIB/VAX1/NCAM1/DRD2/ANK3/POU4F1/PRDM8/SEMA3D/EPHB1/KIF5A/CHRNB2/CLASP2/SLITRK5/KIF5C/GBX2/GDNF/RAC3/ALCAM/SEMA3E/DSCAM/DAB1/BRSK2/CDK5R1/DSCAML1/SLITRK1/SLITRK4/NRXN1/ADGRB1/EPHB3/EPHA10/NOG/PTCH1/SLITRK2/MAPT/SLIT1/DCC/RELN/NTNG2/L1CAM/ARHGEF25/LHX1,75
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,58/1039,325/21338,0.17846153846153845,3.665074405863626,10.953278225492797,5.867447019383475e-18,4.595188924013825e-15,3.835457472670673e-15,CELSR3/CDH10/CDH7/PCDHA6/IGSF9/PCDH11X/PCDH11X/CBLN1/PTPRS/NECTIN1/CDH9/PCDHB15/BMP2/FLRT3/MMP24/LRRC4/CNTN6/CRB1/CDH13/CNTN4/CDH18/CDHR1/CDH22/PCDH15/CDH8/ADGRL3/GRID2/PTPRD/CDH12/CLSTN2/MPZ/SLITRK5/LRFN5/ELFN2/IL1RAPL1/PCDH7/ALCAM/DSCAM/DAB1/CADM2/DSCAML1/SLITRK1/NRXN1/SLITRK2/PTPRT/NTNG2/MBP/L1CAM/PCDHA9/PCDHA8/PCDHA5/PCDHA4/PCDHA2/PCDHGC4/PCDHAC1/PCDHA12/PCDHGB4/PCDHA3,58
GO:0050807,regulation of synapse organization,60/1039,359/21338,0.1671309192200557,3.4323768568985074,10.515328049402532,3.999980155971355e-17,2.0884340836565993e-14,1.7431492469180433e-14,CRMP1/CTTNBP2/PAK3/IGSF9/SIX4/RPS6KA5/CBLN1/PTPRS/NECTIN1/CUX2/RAP2A/FLRT3/FLRT1/SIX1/C1QL1/EPHB2/ADGRB3/ST8SIA2/LRRTM2/DRD2/CDH8/GRID2/PTPRD/EPHB1/LRFN2/LHFPL4/CLSTN2/CHRNB2/LRRTM1/CAMKV/SLITRK5/LRFN5/LRTM2/CASKIN1/IL1RAPL1/RAC3/ZNF804A/NEUROD2/NEGR1/DAB1/LINGO2/LRRN1/LRRTM4/CDK5R1/SLITRK1/SLITRK4/NRXN1/ADGRB1/EPHB3/SLITRK2/CARMIL3/SLIT1/SLC18A3/LRRK2/RELN/NTNG2/LRRTM3/PDXP/GRIN2B/SRCIN1,60
GO:0006334,nucleosome assembly,36/1039,141/21338,0.2553191489361702,5.243503368623677,11.437577196242312,1.0705728540202165e-16,5.0306218410409974e-14,4.198899425346661e-14,MACROH2A2/H2BC11/H4C8/H1-4/H2BC4/H3C13/H1-5/H2BC13/H1-6/H1-2/H4C3/H3C12/H4C11/H3C14/H3C15/H2BC15/H4C15/H4C14/H4C12/H2BC8/H3C8/H2BC17/H3C6/H3C11/H2BC9/H3C1/H2BC3/H4C5/H4C4/H2BC7/H3C7/H4C1/H4C2/H3C10/H3C2/H3C3,36
GO:0034728,nucleosome organization,37/1039,163/21338,0.22699386503067484,4.661785459118902,10.61725184428471,2.4495419905580374e-15,8.854152164332475e-13,7.390278102687652e-13,MACROH2A2/H2BC11/H4C8/H1-4/H2BC4/H2AC25/H3C13/H1-5/H2BC13/H1-6/H1-2/H4C3/H3C12/H4C11/H3C14/H3C15/H2BC15/H4C15/H4C14/H4C12/H2BC8/H3C8/H2BC17/H3C6/H3C11/H2BC9/H3C1/H2BC3/H4C5/H4C4/H2BC7/H3C7/H4C1/H4C2/H3C10/H3C2/H3C3,37
GO:0061644,protein localization to CENP-A containing chromatin,13/1039,18/21338,0.7222222222222222,14.832317399208641,13.282344150055843,5.489463846156224e-14,1.71966604087254e-11,1.435350336194954e-11,H2BC11/H4C8/H4C3/H4C11/H4C15/H4C14/H4C12/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2,13
