category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Substance dependence,hsa05034,Alcoholism,61/509,191/9411,0.3193717277486911,5.904925991832872,16.37546306855545,1.5248847144088275e-31,4.5594052960823944e-29,3.964700257462952e-29,SLC18A1/MACROH2A2/PDYN/NPY/H2BC11/GNG13/DDC/SHC3/DRD2/CAMK4/H2BC5/H4C8/GNG4/PKIA/ADCY5/TH/H2BC4/H2AC25/H3C13/H2AC20/H2AC21/H2BC13/GNG2/H2AC13/H2AC11/H2BC26/H4C3/H3C12/H4C11/H2BC12/GRIN3A/H3C14/H2BC18/H3C15/H2BC15/H4C15/H4C14/GRIN2B/H4C12/H2BC8/H3C8/H2BC17/H3C6/H2AC12/H3C11/H2BC9/H3C1/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H4C1/H4C2/H3C10/H3C2/H3C3,61
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,47/509,143/9411,0.32867132867132864,6.076868122054762,14.62786003859501,4.543119515058865e-25,6.791963675013002e-23,5.906055369576524e-23,MACROH2A2/H2BC11/H2BC5/H4C8/H2BC4/H2AC25/H3C13/H2AC20/H2AC21/H2BC13/H2AC13/H2AC11/H2BC26/H4C3/H3C12/H4C11/H2BC12/H3C14/H2BC18/H3C15/H2BC15/H4C15/H4C14/GRIN2B/H4C12/H2BC8/H3C8/H2BC17/H3C6/H2AC12/H3C11/H2BC9/H3C1/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H4C1/H4C2/H3C10/H3C2/H3C3,47
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,49/509,195/9411,0.2512820512820513,4.646002720265981,12.301921995198178,2.2367322533668802e-20,2.2292764791889908e-18,1.9385012862512966e-18,MACROH2A2/PLCB4/AKT3/H2BC11/H2BC5/H4C8/H2BC4/H2AC25/PLCB1/H3C13/H2AC20/H2AC21/H2BC13/H2AC13/H2AC11/H2BC26/H4C3/H3C12/H4C11/H2BC12/H3C14/H2BC18/H3C15/H2BC15/H4C15/H4C14/H4C12/H2BC8/H3C8/H2BC17/H3C6/H2AC12/H3C11/H2BC9/H3C1/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H4C1/H4C2/H3C10/H3C2/H3C3,49
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,46/509,199/9411,0.23115577889447236,4.273884155551826,11.161505807487163,1.2472533204572813e-17,9.323218570418177e-16,8.10714658297233e-16,GABRA3/SLC18A1/CHAT/CHRNA3/SLC17A6/HRH3/CHRNA4/PDYN/PLCB4/SLC32A1/SLC1A6/SLC1A1/P2RX3/OPRM1/GABRG2/OPRD1/GRIA2/GRM4/GNG13/GNAL/GLRA3/DRD2/GRIA4/HTR5A/HTR6/CHRNB2/SLC1A7/GRIK3/GRM2/GRIK2/GABRB3/GNG4/CHRM1/GRM5/ADCY5/TAC4/HTR1A/SLC17A8/CHRM2/PLCB1/GNG2/SLC18A3/GRM7/GRIN3A/GABRQ/GRIN2B,46
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,57/509,371/9411,0.15363881401617252,2.8406579149434177,8.649394985005507,3.9023967869676757e-13,2.33363327860667e-11,2.0292463292231917e-11,GIPR/GABRA3/PTGER3/CHRNA3/P2RX7/HRH3/NTSR1/CHRNA4/PDYN/GLRA2/VIPR2/NMU/P2RX3/OPRM1/GLP1R/GABRG2/OPRD1/PRLHR/GRIA2/NPY/GRM4/VGF/SSTR1/PTH2R/GLRA3/LPAR4/DRD2/GRID2/GRIA4/SST/HTR5A/HTR6/CHRNB2/GRIK3/GRM2/NPY5R/GRIK2/TSHR/GABRB3/CHRM1/GRM5/PATE1/RXFP4/TRHR/TAC4/HTR1A/SSTR2/CHRM2/NPSR1/PAQR9/GRM7/PATE2/GRIN3A/PATE3/PATE4/GABRQ/GRIN2B,57
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,26/509,116/9411,0.22413793103448276,4.144129801503963,8.147318090380761,3.6092106155106255e-10,1.7985899567294616e-8,1.563991266721271e-8,SLC17A6/PLCB4/SLC1A6/SLC1A1/SLC38A1/GRIA2/GRM4/GNG13/GRIA4/SHANK1/SHANK2/SLC1A7/KCNJ3/GRIK3/GRM2/GRIK2/GNG4/GRM5/DLGAP1/ADCY5/SLC17A8/PLCB1/GNG2/GRM7/GRIN3A/GRIN2B,26
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,14/509,41/9411,0.34146341463414637,6.313383487469453,8.152732682020885,1.3996667921260197e-8,5.978576726366856e-7,5.198762370753788e-7,GABRA3/SLC17A6/CHRNA4/SLC32A1/GABRG2/GRIA2/CACNA1B/GRIA4/CHRNB2/GABRB3/SLC17A8/GRIN3A/GABRQ/GRIN2B,14
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,18/509,79/9411,0.22784810126582278,4.212727860535674,6.856619160407776,1.4696880791696683e-7,5.041493901192387e-6,4.383907740167294e-6,SLC18A1/RIMS1/SLC17A6/STX1B/SLC32A1/SLC1A6/RAB3A/ATP6V0A4/SLC1A1/UNC13A/UNC13C/CPLX2/CACNA1B/SLC1A7/CPLX1/SLC17A8/SLC18A3/DNM3,18
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,33/509,226/9411,0.14601769911504425,2.6997496392370954,6.184569934321889,1.5175065254425247e-7,5.041493901192387e-6,4.383907740167294e-6,CFTR/GIPR/PTGER3/LIPE/KCNK2/RAPGEF4/ATP1A3/VIPR2/MAPK8/GLI1/GLP1R/PDE10A/AKT3/GRIA2/NPY/FXYD2/SSTR1/DRD2/CAMK4/GRIA4/SST/HTR6/TSHR/CHRM1/RAC3/ADCY5/NPPA/HTR1A/SSTR2/CHRM2/PTCH1/GRIN3A/GRIN2B,33
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,22/509,133/9411,0.16541353383458646,3.0583629998375113,5.716503989265545,2.3067830254239745e-6,6.897281246017683e-5,5.997635866102335e-5,SLC18A1/PLCB4/MAPK8/AKT3/GRIA2/GNG13/DDC/GNAL/CACNA1B/DRD2/GRIA4/KIF5A/KCNJ9/KCNJ3/PPP2R3B/GNG4/KIF5C/ADCY5/TH/PLCB1/GNG2/GRIN2B,22
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,12/509,49/9411,0.24489795918367346,4.527965999759432,5.920358702767958,8.08459041353701e-6,2.1975386669523332e-4,1.910903188654203e-4,SLC18A1/PDYN/GRIA2/DDC/DRD2/GPSM1/GRM2/ADCY5/CDK5R1/TH/GRIN3A/GRIN2B,12
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,27/509,201/9411,0.13432835820895522,2.4836231416590917,5.083955264457357,1.034950828141901e-5,2.578752480120237e-4,2.2423934609741193e-4,HOXA11/ETV1/PROM1/HOXA9/SIX4/EYA1/TLX1/SIX1/BCL11B/GADD45G/MYCN/MDM2/FEV/DDIT3/H3C13/PAX5/H3C12/H3C14/H3C15/H3C8/H3C6/H3C11/H3C1/H3C7/H3C10/H3C2/H3C3,27
Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,43/509,404/9411,0.10643564356435643,1.9679093154895058,4.754941506388951,1.4038067884410636e-5,3.228755613414446e-4,2.807613576882128e-4,USH1C/CELSR3/GABRA3/CDH10/LRP6/CDH7/PCDHA6/PCDH11X/PCDH11Y/MAPK8/WASF1/CDH9/PCDHB15/GABRG2/AMOTL2/PDGFRA/CDH13/CDH18/TMC2/CDH22/PCDH15/CDH8/CDH12/LHFPL4/GABRB3/SCN3B/RAC3/PCDH7/CTNNA3/SCN5A/KRT5/LHFPL3/PCDHA9/PCDHA8/PCDHA5/PCDHA4/PCDHA2/PCDHGC4/PCDHAC1/PCDHA12/PCDHGB4/PCDHA3/GABRQ,43
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,22/509,149/9411,0.1476510067114094,2.7299481810630137,5.0896011305785684,1.5360195853203567e-5,3.280498971505619e-4,2.8526078013092337e-4,GABRA3/RIMS1/SLC17A6/PLCB4/SLC32A1/MAPK8/GABRG2/FAAH/GRIA2/GNG13/CACNA1B/GRIA4/KCNJ9/KCNJ3/GABRB3/GNG4/GRM5/ADCY5/SLC17A8/PLCB1/GNG2/GABRQ,22
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,34/509,299/9411,0.11371237458193979,2.1024502105906393,4.632310171398771,2.9720703919844075e-5,5.924326981355585e-4,5.15158867943964e-4,CNTN1/KCNQ2/PAK3/MAP2/RIMS1/PAK5/TUBB4A/PTPRS/MAPK8/NECTIN1/UNC5A/AKT3/GRIP2/NCAM1/ANK3/MAGI1/PTPRD/MPZ/SLITRK5/LRFN5/CASKIN1/IL1RAPL1/MTSS1/SPTBN2/CNTNAP2/CADM2/LRRTM4/SLITRK1/SLITRK4/SLITRK2/SLIT1/DCC/MBP/L1CAM,34
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,18/509,115/9411,0.1565217391304348,2.8939608781071153,4.886318530820508,4.121703847733884e-5,7.316429508419737e-4,6.362112616017162e-4,CHAT/KCNQ2/CHRNA3/CHRNA4/PLCB4/AKT3/GNG13/CACNA1B/CAMK4/CHRNB2/KCNJ3/GNG4/CHRM1/ADCY5/CHRM2/PLCB1/GNG2/SLC18A3,18
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,26/509,205/9411,0.12682926829268293,2.344971009631511,4.655477977001844,4.159842864318914e-5,7.316429508419737e-4,6.362112616017162e-4,CCND1/H2BC11/CDK4/MDM2/H2BC5/H4C8/H2BC4/H2BC13/H2BC26/H4C3/H4C11/H2BC12/H2BC18/H2BC15/H4C15/H4C14/H4C12/H2BC8/H2BC17/H2BC9/H2BC3/H4C5/H4C4/H2BC7/H4C1/H4C2,26
Human Diseases,Substance dependence,hsa05032,Morphine addiction,15/509,91/9411,0.16483516483516483,3.0476694229150025,4.693345145013893,9.775815224114945e-5,0.0016238715288946493,0.0014120621990388255,GABRA3/SLC32A1/OPRM1/PDE10A/GABRG2/GNG13/CACNA1B/KCNJ9/KCNJ3/GABRB3/GNG4/ADCY5/GNG2/PDE2A/GABRQ,15
