ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0019221,cytokine-mediated signaling pathway,472,0.5602343470256143,2.95974496188118,1.699545087311038e-49,1.0178575527905806e-45,5.864325048637456e-46,2847,"tags=47%, list=18%, signal=40%",CARD16/GSDMD/CLCF1/TNFRSF1A/SP100/FAS/CASP8/TNFRSF14/YAP1/CASP4/IL13RA1/CASP1/RBM47/CSF1/CD44/ANXA4/IL17RC/EREG/IL15/CSF3/CCL2/STAT5A/BIRC3/TRIM56/NFKBIZ/LILRB2/CCR2/IRF1/TNFAIP3/TNFRSF1B/OSMR/IL4R/CXCR4/STAT6/IL2RA/LIMS1/FOSL1/SLC27A1/TNFRSF11B/F3/CD7/AGPAT2/HCLS1/PARP9/TANK/LILRA5/IL7R/IL15RA/LYN/IL1R1/CCR5/PTK2B/CSF3R/SOCS1/PTPN6/IKBKE/RIPK1/IRAK2/SOCS3/CD4/SECTM1/CXCL13/LAPTM5/CSF1R/IL10/IRF5/LILRB1/TRADD/OSM/JAK3/IFITM3/PYCARD/HCK/PLP2/CCR1/CCL26/DOK1/NFKB1/TNFRSF11A/CCL5/IL2RB/TSLP/ANGPT1/STING1/GAS6/CSF2RB/CXCL6/IL10RA/IL18R1/TNFRSF18/FCER1G/LILRB3/AXL/IRF3/IRAK3/IL16/CIB1/NLRP3/PTPRC/IL18/CD70/SPI1/UGCG/P4HB/NFKBIA/CCL18/CD74/SH2B3/IL6/TMC8/CD40/TNFSF13B/PTPN2/CCL7/CASP5/TRAF1/IL1A/MAPKAPK2/KRT8/TRIM6/RPS6KA4/IRAK1/IFNGR2/CD300LF/IL20RA/IL31RA/ACSL1/CMKLR1/TMSB4X/IL1B/IL12RB1/SYK/ACTN4/ECM1/IL21R/IL6R/CISH/GFI1/CXCL10/TXK/LILRA6/NLRP6/CCR4/TIFA/CXCL11/STAT3/LILRA1/ACKR2/IFITM2/OAS1/IL1R2/LILRB4/IL17RA/OAS2/IFITM1/IL22RA1/CXCR3/NR1H3/MYD88/SPPL2A/CCL8/STAT4/F2RL1/KRT18/NR1H2/LILRA2/CAV1/CCRL2/TRAF5/IKBKB/CXCL12/IRAK4/CSF2RA/CIITA/NUMBL/CCL13/PARP14/CXCR2/PPARG/FOXC1/IFIH1/EDA2R/IL11/ADIPOR1/EBI3/IL1RL1/IL1RN/IFNGR1/STAT2/OAS3/IFNLR1/GPR108/IL36B/CCL22/IL18RAP/MUL1/EPOR/RFFL/TOLLIP/MX1/NOL3/CEBPA/IL2RG/IRF7/TREM2/HIF1A/IL6ST/OASL/HSPA1A/IL34/PRLR/CASP3/CCR10/MT3/SPHK1/LILRB5/IL7/EGR1/FLT3/PDGFB
GO:0002250,adaptive immune response,410,0.5785004416641695,3.024429531470632,1.7316174379644548e-47,5.18532841798456e-44,2.9874957692881494e-44,3176,"tags=55%, list=20%, signal=45%",ANXA1/C1RL/HFE/FCGR2B/CLCF1/TNFRSF14/C1R/MR1/MICA/TCIRG1/RAB27A/SWAP70/RELB/CD274/C1S/UNC93B1/LAIR1/CLEC7A/STAT5A/FCGR2A/PDCD1LG2/NFKBIZ/LILRB2/ZBTB7B/CCR2/SLC11A1/IRF1/CFI/TNFAIP3/SIPA1/TNFRSF1B/IL4R/TNFSF13/STAT6/CD7/ZC3H12A/MYO1G/LGALS1/IL7R/PRDM1/PARP3/LYN/IL1R1/TREM1/CLU/HLA-E/PTK2B/PTPN6/ICAM1/TNFSF4/CD86/FCGR3A/ERAP1/NFKB2/GPR183/CTSL/SOCS3/CD4/C3/SECTM1/WAS/BATF/GATA3/CXCL13/NECTIN2/CTSS/IL10/LILRB1/BCL3/ADGRE1/CD6/SLAMF1/JAK3/PYCARD/TEC/C2/NOD2/TNFRSF11A/SLAMF6/IL2RB/SASH3/HLA-DMA/C1QA/CSF2RB/HLA-A/LAT2/CR1/JUNB/TFE3/IL18R1/PRF1/FCER1G/LILRB3/TLR8/CTSC/PDIA3/C1QC/SIGLEC10/NLRP3/C1QB/HLA-DPB1/PTPRC/IL18/CD70/HLA-C/C7/PRKCD/CD74/HLA-DRB1/IL6/NCKAP1L/HLA-B/BTK/CD40/SAMSN1/HAVCR2/RIPK3/TNFSF13B/CRTAM/HLX/HLA-DMB/PIK3CD/KCNJ8/ARID5A/HLA-DQB1/PIK3CG/B2M/HLA-DOA/CD3E/FCGR1A/HLA-DRA/CD1D/IL1B/C4BPA/CD3G/IL12RB1/SYK/CD69/IL6R/TGFB1/CLEC4D/RFTN1/CD244/TXK/LILRA6/SIT1/HLA-F/CTLA4/STAT3/C6/CD3D/LILRA1/FOXJ1/ERAP2/CARD9/TAP1/LILRB4/IL17RA/ASCL2/PCYT1A/LEF1/SKAP1/HLA-DQA1/UNC13D/MYD88/NFKBID/STAT4/CD55/HLA-DPA1/LAMP3/RNF19B/CD8B/TAP2/DUSP22/PRKD2/BTN3A2/LAX1/LOXL3/EBI3/IL1RL1/CTSH/BTN3A3/CLEC10A/KLHL6/IL18RAP/CD84/INPP5D/JCHAIN/LY9/SH2D1A/AIRE/RAG1/SPN/IRF7/TREM2/CD79B/LGALS9/MPEG1/IL4I1/IL6ST/THEMIS/TRPM4/HLA-G/CD46/SLC15A4/CD209/MICB/EIF2AK4/LILRB5/IL23A/TLR4/MALT1/FCGR3B/RSAD2/CD28/CD226/GZMM/CD81/ICOSLG/PRKAA1/TFRC/HLA-DRB5/IL27RA/ITK/HLA-DQB2
GO:0001819,positive regulation of cytokine production,454,0.5451962253005824,2.8726194438806063,4.1910562994723077e-44,8.366745392513216e-41,4.820450017428149e-41,3083,"tags=49%, list=19%, signal=41%",ANXA1/GSDMD/FCGR2B/CASP8/TNFRSF14/RNF135/CASP1/RBM47/CD274/IL17RC/EREG/IL15/UNC93B1/CHI3L1/C5AR1/CLEC7A/STAT5A/FCGR2A/TRIM56/CLEC5A/LILRB2/ZBTB7B/CCR2/CAMP/SAA1/SLC11A1/IRF1/TLR2/DHX58/IL4R/CD14/CYP1B1/F3/CD7/AGPAT2/TANK/LILRA5/RUNX1/SERPINE1/IL1R1/CLU/HLA-E/S100A13/PTPN6/IKBKE/TNFSF4/CD86/LBP/RIPK1/CEBPB/FCGR3A/CD4/C3/SECTM1/LUM/BATF/GATA3/LAPTM5/CSF1R/IL10/IRF5/LY96/LILRB1/BCL3/NFAM1/OSM/CD6/SLAMF1/C3AR1/PTPN22/PYCARD/IL32/NOD2/SLAMF6/TSLP/STING1/SASH3/HSPB1/SCIMP/HLA-A/PTGS2/CD58/POSTN/IL18R1/THBS1/FCER1G/PTGER4/NFATC4/NOS2/TLR8/CYBA/IRF3/IRAK3/IL16/PLCG2/TLR5/NLRP3/HLA-DPB1/PTPRC/IL18/TICAM1/AIF1/TMEM106A/HEG1/CYBB/CD74/TLR1/MAPK13/IL6/NLRP12/CD276/BTK/NLRP1/CD40/HAVCR2/FGR/CRTAM/XAF1/IDO1/IL1A/MAPKAPK2/PIK3CD/ORM1/CCDC88B/CARD11/TRAF3IP3/CD2/GPSM3/TRIM6/IRAK1/ARID5A/GPR65/PIK3CG/B2M/CD3E/FCGR1A/IL1B/TLR6/IL12RB1/SYK/IL6R/TGFB1/GBP5/TLR3/TLR7/RFTN1/CD244/TXK/NLRP6/TYROBP/HLA-F/STAT3/CLEC12A/HMOX1/CARD9/ADAM8/IFI16/OAS1/HK1/IL17RA/OAS2/CD83/MYD88/APP/ALOX15B/F2RL1/CD55/LILRA2/TRPV4/HLA-DPA1/XBP1/ATP6AP2/TNFRSF8/PRKD2/SPON2/BTN3A2/IFIH1/MEFV/EBI3/IL1RL1/IFNGR1/OAS3/NLRP2/NR4A3/FCN1/LY9/PLA2R1/NLRC4/AIRE/UAP1/SPN/IRF7/TREM2/CD34/HIF1A/SMAD3/LGALS9/IL6ST/HSPA1A/IRF8/HLA-G/CD46/POU2AF1/SPHK1/LACC1/SIGLEC1/IL7/EGR1/ZC3HAV1/IL23A/TLR4/NAIP/MALT1/PNP/TMED10/RSAD2/CD28/ELANE/TRIM65/CD226/ARNT/HGF/SOD1/CD81
GO:0002443,leukocyte mediated immunity,345,0.5831352481674216,3.0102073232493836,2.1442137413785755e-41,2.5683392194232576e-38,1.479733188260836e-38,3139,"tags=54%, list=19%, signal=45%",C1RL/HFE/FCGR2B/CLCF1/C1R/FES/MR1/MICA/TCIRG1/RAB27A/SWAP70/CD274/C1S/UNC93B1/BST2/CLEC7A/STAT5A/FCGR2A/NFKBIZ/CCR2/CFI/TNFRSF1B/IL4R/TNFSF13/STAT6/CD7/ITGB2/MYO1G/IL7R/PARP3/LYN/IL1R1/TREM1/CLU/HLA-E/S100A13/PTPN6/ICAM1/ITGAM/SERPINB9/TNFSF4/ADGRE2/FCGR3A/C3/SECTM1/WAS/BATF/GATA3/NECTIN2/IL10/LILRB1/BCL3/SLAMF1/JAK3/C2/RAC2/NOD2/VAV1/SLAMF6/IL2RB/SCNN1B/SASH3/C1QA/SCIMP/CSF2RB/HLA-A/LAT2/CXCL6/CR1/IL18R1/PRF1/RASGRP4/FCER1G/NOS2/TLR8/CTSC/WDR1/C1QC/PLCG2/NLRP3/C1QB/CD96/STXBP2/PTPRC/FCAR/IL18/CD70/HLA-C/TICAM1/C7/HCST/SPI1/PRKCD/MILR1/CORO1A/NCF1/CD74/HLA-DRB1/IL6/NCKAP1L/HLA-B/BTK/CD40/HAVCR2/VAMP8/RIPK3/FGR/CRTAM/PIK3CD/CD2/ARID5A/PIK3CG/B2M/FCGR1A/HLA-DRA/PRAM1/CD1D/IL1B/C4BPA/IL12RB1/SYK/CD300A/IL6R/TGFB1/TLR3/RFTN1/NKG7/NLRP6/TYROBP/HLA-F/LAMP1/C6/FOXJ1/CARD9/PIK3R6/LILRB4/PCYT1A/UNC13D/MYD88/F2RL1/CD55/RNF19B/TAP2/GZMB/DUSP22/IRAK4/NECTIN4/SPON2/BTN3A2/CTSH/BTN3A3/GRB2/CD177/IL18RAP/CD84/INPP5D/NR4A3/STXBP3/SH2D1A/AIRE/SPN/IRF7/VAMP7/TREM2/LGALS9/IL4I1/TRPM4/HLA-G/CD46/SLC15A4/FOXF1/SNAP23/IL23A/TLR4/MALT1/FCGR3B/RSAD2/PLEKHM2/CD28/ELANE/CD226/GZMM/ARRB2/CD81/PRKAA1/TFRC/IL27RA
GO:0050900,leukocyte migration,343,0.5826156877404157,3.005911746203896,1.7527683409717323e-41,2.5683392194232576e-38,1.479733188260836e-38,3511,"tags=57%, list=22%, signal=45%",ANXA1/TNFRSF14/SWAP70/CSF1/MMP14/IL17RC/LGALS3/CCL2/TNFSF14/ALOX5/C5AR1/CXCL5/B4GALT1/CCR2/SAA1/LYVE1/CXCL3/DPP4/HSD3B7/CHST2/CXCR4/CD99/RIN3/ITGA7/S100A8/ITGB2/EMILIN1/MSN/MYO1G/SLC8B1/SERPINE1/LYN/IL1R1/TREM1/GCNT1/CCR5/PTK2B/CSF3R/CCL20/ICAM1/F11R/LBP/ADGRE2/FPR2/GDF15/GPR183/C3/GATA3/CXCL13/S100A9/SLAMF8/CSF1R/IL10/TRPM2/DUSP1/CH25H/SLAMF1/C3AR1/PYCARD/HCK/CCR1/RAC2/CCL26/MPP1/TNFRSF11A/CCL5/VAV1/GAS6/CXCL6/THBS1/TNFRSF18/FCER1G/GBA1/PTGER4/PERP/WDR1/ITGA3/CXCL16/SELPLG/IL16/ANO6/PDGFD/SPI1/P4HB/AIF1/CORO1A/CD74/IL6/NCKAP1L/LCK/NLRP12/RIPK3/CCL7/CRTAM/PIK3CD/GPSM3/PIK3CG/P2RX4/SIRPA/CMKLR1/CXCL8/IL1B/VCAM1/NEDD9/SYK/ECM1/CD69/CD300A/IL6R/TGFB1/MYH9/RARRES2/ITGA2/CXCL10/CXCL11/C5AR2/TNFAIP6/FOXJ1/HMOX1/CD200R1/XG/ADAM8/PECAM1/IL17RA/MOSPD2/CXCR3/ASCL2/VEGFC/MYD88/NINJ1/CCL8/APP/F2RL1/ADORA1/TRPV4/ITGB1/ADTRP/CXCL12/IRAK4/DOCK8/ARHGEF5/CCL13/S100A12/CXCR2/CYP19A1/CNN2/CALR/CD177/VAV3/CCL22/MTUS1/SELL/AIRE/ITGA4/PPIB/SPN/THBS4/TREM2/BST1/CD34/ITGAL/LGALS9/SELE/LGMN/IL34/TRPM4/TMEM102/JAML/TGFB2/PDGFB/CD99L2/IL23A/ITGB7/WASL/SCG2/ELANE/CXCR1/NBL1/CD81/ITGA6/KITLG/IL27RA/ITGB3/RHOA/PPBP/CX3CL1/ADA/RIPOR2/CCL28/VEGFB/EDN3/FFAR2/MDK/JAM2
GO:0002697,regulation of immune effector process,349,0.5799098687940406,3.0013865130796757,4.525436023188682e-41,4.5171393904795026e-38,2.6025226814057024e-38,3139,"tags=54%, list=19%, signal=44%",ANXA1/HFE/FCGR2B/CLCF1/TNFRSF14/PLA2G5/FES/MR1/MICA/IL13RA1/CD274/LGALS3/BST2/CLEC7A/STAT5A/CFH/NFKBIZ/ZBTB7B/CCR2/DHX58/TNFRSF1B/SERPING1/IL4R/TNFSF13/STAT6/CD7/ITGB2/ZC3H12A/LGALS1/IL7R/PARP3/GALNT2/LYN/IL1R1/CLU/HLA-E/PTPN6/ICAM1/TGFB3/ITGAM/SERPINB9/TNFSF4/CD86/LBP/ADGRE2/GRN/C3/SECTM1/WAS/BATF/GATA3/NECTIN2/S100A9/SLAMF8/LAPTM5/IL10/IRF5/LILRB1/SLAMF1/JAK3/PYCARD/RAC2/NOD2/VAV1/SLAMF6/ANGPT1/SASH3/SCIMP/HLA-A/CXCL6/CR1/JUNB/IL18R1/VSIG4/RASGRP4/FCER1G/TMBIM6/AXL/NOS2/IRAK3/PLCG2/NLRP3/CD96/STXBP2/PTPRC/IL18/HLA-C/TICAM1/SPI1/NCF1/CD74/HLA-DRB1/IL6/NCKAP1L/HLA-B/BTK/CD40/HAVCR2/VAMP8/RIPK3/A2M/FGR/CRTAM/HLX/MAPKAPK2/HLA-DMB/TRIM6/NLRX1/ARID5A/GPR65/B2M/FCGR1A/HLA-DRA/PRAM1/CD1D/IL1B/C4BPA/IL12RB1/FGL2/SYK/CD69/CD300A/TGFB1/LITAF/TLR3/TLR7/CD59/COLEC11/CD244/TYROBP/HLA-F/LAMP1/FOXJ1/CARD9/CD37/HK1/PIK3R6/LILRB4/DDRGK1/ASCL2/UNC13D/MYD88/NFKBID/F2RL1/CD55/XBP1/TAP2/DUSP22/NECTIN4/SPON2/LOXL3/GRB2/CD177/IL18RAP/CD84/INPP5D/NR4A3/FCN1/SH2D1A/ACP5/SPN/IL2RG/VAMP7/TREM2/DDX60/LGALS9/IL4I1/TRPM4/HLA-G/CD46/SLC15A4/FCN3/FOXF1/LACC1/TGFB2/GPI/IL23A/TLR4/MALT1/RSAD2/CD28/MZB1/CD226/ARRB2/CD81/PRKAA1/TFRC/IL27RA
GO:0050727,regulation of inflammatory response,355,0.5724886036792707,2.9702241991697926,5.933319163357253e-40,5.076378352763798e-37,2.9247248447345978e-37,3117,"tags=52%, list=19%, signal=43%",ANXA1/GSDMD/FCGR2B/TNFRSF1A/CASP8/CASP4/CASP1/IL15/ALOX5/STAT5A/CALHM2/BIRC3/SLC39A8/NFKBIZ/FURIN/CCR2/GBP1/SAA1/PLA2G2A/RHBDF2/TNFAIP3/TLR2/NMI/TNFRSF1B/OSMR/IL2RA/CCN4/IFI35/S100A8/LILRA5/GBP3/LGALS1/SERPINE1/LYN/IL1R1/HLA-E/IER3/PTPN6/METRNL/MAP3K8/TNFSF4/LBP/RIPK1/CEBPB/GRN/FPR2/MGST2/SOCS3/PTGES/C3/GATA3/S100A9/SLAMF8/IL10/TRADD/OSM/PYCARD/HCK/CCR1/NOD2/NFKB1/NUPR1/TNFRSF11A/CCL5/TNC/TSLP/STING1/PTGS2/IL10RA/FCER1G/GBA1/PTGER4/ELF4/CTSC/IRF3/IL16/SIGLEC10/PLCG2/NLRP3/PTPRC/IL18/SBNO2/PRKCD/NFE2L1/NCF1/NFKBIA/HLA-DRB1/MAPK13/IL6/CST7/NLRP12/BTK/NLRP1/VAMP8/FGR/PTPN2/CCL7/CASP5/IDO1/GPSM3/NLRX1/PIK3CG/KLF4/SIRPA/FCGR1A/TMSB4X/PPP1R13L/FFAR4/IL1B/TLR6/NR1D1/SYK/TGFB1/GBP5/TLR3/TLR7/NKG7/NLRP6/TNFAIP8L2/STAT3/CLEC12A/TNFAIP6/PIK3AP1/AOAH/CD200R1/ADAM8/IFI16/IL17RA/IL22RA1/NR1H3/MYD88/NINJ1/APP/NR1H2/ADORA1/TRPV4/GZMK/S100A12/AGTR1/PPARG/CYP19A1/PPARD/MEFV/IL1RL1/NLRP2/GBP2/TNIP1/TAFA3/FNDC4/NLRC4/ZDHHC5/ACP5/SPN/CEBPA/VAMP7/TREM2/BST1/SMAD3/SELE/GPX1/IL6ST/ADAMTS12/CASP3/FOXF1/SPHK1/LACC1/IL23A/TLR4/NAIP/IGF1/CD28/GNA14/ZBP1/ELANE/TRIM65/LPCAT3/UACA/SELENOS/ARNT/HGF/C15orf39/SOD1/CD81/CDH5
GO:0070661,leukocyte proliferation,309,0.5905329074959855,3.0252250461068604,2.5802855866495735e-39,1.931666297305537e-36,1.1129179148733293e-36,3124,"tags=54%, list=19%, signal=44%",ANXA1/FCGR2B/CLCF1/TNFRSF14/PLA2G5/SDC4/TCIRG1/TWSG1/CSF1/CD274/IL15/LGALS3/TNFSF14/BST2/STAT5A/PDCD1LG2/NFKBIZ/LILRB2/RASSF5/ZBTB7B/TGFBR2/CCR2/SLC11A1/PLA2G2A/IRF1/TNFAIP3/CD151/TNFRSF1B/GAPT/TNFSF13/STAT6/IL2RA/ERBB2/MSN/IL7R/LYN/CLU/HLA-E/NFATC2/PTPN6/TNFSF4/CD86/CEBPB/FCGR3A/GPR183/CD4/LAPTM5/CSF1R/IL10/LILRB1/TNFSF8/CD6/SH2D2A/SLAMF1/RASAL3/PTPN22/PYCARD/CDKN1A/RAC2/CCL5/VAV1/SASH3/CSF2RB/HLA-A/MNDA/CR1/JUNB/VSIG4/GBA1/FOSL2/ELF4/HLA-DPB1/PTPRC/IL18/CD70/TICAM1/PRKCD/AIF1/CORO1A/PSMB10/CD74/HLA-DRB1/IL6/NCKAP1L/CD276/BTK/CD40/HAVCR2/RIPK3/TNFSF13B/PRNP/CRTAM/IDO1/IL1A/HLA-DMB/CCDC88B/CARD11/HES1/PIK3CG/HHEX/IRS2/CD3E/CD1D/IL1B/VCAM1/IL12RB1/SYK/NCSTN/CD300A/TGFB1/TYROBP/CTLA4/VSIR/FOXJ1/TNFRSF9/CD37/DOCK2/LILRB4/IKZF3/PCYT1A/LEF1/MYD88/SHH/CCL8/F2RL1/CD55/HLA-DPA1/FGF10/GPNMB/DOCK8/CSF2RA/LST1/BCL2L1/EBI3/CD180/CNN2/VAV3/SLC4A2/INPP5D/LRRC32/SPN/TREM2/BST1/NDP/LGALS9/IL4I1/IL6ST/IL34/HLA-G/CD46/CD209/PRLR/CASP3/IL7/FLT3/IL23A/TLR4/MALT1/TSPAN32/PNP/IGF1/CD28/MZB1/CD81/ICOSLG/KITLG/TFRC
GO:0007159,leukocyte cell-cell adhesion,387,0.5540717598580898,2.8879301828139976,4.9359183878093507e-39,3.2845794693989115e-36,1.892390698858369e-36,3378,"tags=53%, list=21%, signal=43%",ANXA1/HFE/TNFRSF14/PLA2G5/SDC4/TWSG1/CD44/CD274/IL15/LGALS3/CCL2/TNFSF14/ALOX5/STAT5A/PDCD1LG2/SLC39A8/NFKBIZ/LILRB2/ZBTB7B/TGFBR2/CCR2/PLA2G2A/DPP4/IRF1/CHST2/IL4R/IL2RA/S100A8/ERBB2/ITGB2/FERMT3/MSN/ZC3H12A/LGALS1/IL7R/RUNX1/LYN/HLA-E/GCNT1/ITGA5/SOCS1/PTPN6/ICAM1/F11R/MAP3K8/TNFSF4/CD86/CEBPB/CD4/GATA3/S100A9/LAPTM5/IL10/LILRB1/CD6/SLAMF1/JAK3/RASAL3/PTPN22/PYCARD/RAC2/NOD2/CCL5/VAV1/SASH3/RHOH/HLA-DMA/HLA-A/CR1/VSIG4/LRG1/SELPLG/NLRP3/HLA-DPB1/PTPRC/IL18/CD70/AIF1/CORO1A/CD74/HLA-DRB1/IL6/NCKAP1L/LCK/CD276/HAVCR2/TNFSF13B/PRNP/PTPN2/CRTAM/IDO1/HLX/IL1A/HLA-DMB/PIK3CD/CCDC88B/VNN1/CARD11/HES1/GLI2/IRAK1/HLA-DQB1/GPR65/KLF4/DUSP3/SIRPA/B2M/HLA-DOA/CD3E/ITPKB/HLA-DRA/CD1D/IL1B/VCAM1/IL12RB1/FGL2/SYK/CD69/CD300A/TGFB1/RUNX3/TNFAIP8L2/EFNB2/CTLA4/VSIR/FOXJ1/CD37/ADAM8/PIK3R6/PECAM1/LILRB4/ASCL2/LEF1/SKAP1/CD83/HLA-DQA1/SHH/NFKBID/CD55/HLA-DPA1/XBP1/CAV1/ITGB1/ADTRP/SMARCD2/GPNMB/CXCL12/DUSP22/DOCK8/LAX1/LOXL3/ASS1/EBI3/GRB2/ACTB/SIRPG/CD177/SLC4A2/IL36B/NR4A3/TNIP1/SELL/LRRC32/CD5/RAG1/ITGA4/SPN/EGR3/IL2RG/ITGAL/LGALS9/SELE/IL4I1/SIRPB1/IL6ST/LGALS8/HLA-G/CD46/CD209/CASP3/IL7/OLR1/IL23A/MALT1/TSPAN32/PNP/IGF1/CD28/ITGB7/ELANE/CD81/ICOSLG/PRKAA1/KITLG/TFRC/HLA-DRB5/HLA-DQB2/FOXP3/RHOA/NCK2/IL1RL2/ADA/FLOT2/RIPOR2/CCL28/FGL1
GO:0060326,cell chemotaxis,266,0.6089222673268373,3.086330166049873,1.319121439119588e-37,7.900218298887212e-35,4.5516632394042206e-35,3492,"tags=60%, list=22%, signal=48%",ANXA1/CXCL14/SWAP70/CSF1/IL17RC/LGALS3/CCL2/TNFSF14/ALOX5/C5AR1/CXCL5/CCR2/SAA1/CXCL3/DPP4/HSD3B7/CXCR4/RIN3/S100A8/ITGB2/SLC8B1/LOX/SERPINE1/LYN/TREM1/CCR5/PTK2B/CSF3R/CCL20/LBP/ADGRE2/FPR2/GPR183/C3/CXCL13/S100A9/SLAMF8/CSF1R/IL10/TRPM2/DUSP1/CH25H/SLAMF1/C3AR1/CXCL1/CCR1/RAC2/CCL26/MPP1/TNFRSF11A/CCL5/VAV1/GAS6/HSPB1/CXCL6/THBS1/FCER1G/PERP/EPHA2/CXCL16/IL16/ANO6/NRP1/PDGFD/SPI1/PRKCD/AIF1/CORO1A/CXCL2/CCL18/CD74/BIN2/IL6/NCKAP1L/FGF1/ENG/CCL7/PARVA/PIK3CD/GPSM3/PIK3CG/P2RX4/CMKLR1/TMSB4X/CXCL8/IL1B/VCAM1/TPBG/NEDD9/SYK/IL6R/RARRES2/CXCL10/CCR4/HBEGF/RAB13/CXCL11/C5AR2/TNFAIP6/ACKR2/ADAM8/IL17RA/MOSPD2/CXCR3/LEF1/VEGFC/NINJ1/FGFR1/CCL8/APP/F2RL1/TRPV4/CCRL2/RHOG/CXCL12/LPAR1/ARHGEF5/PRKD2/CCL13/S100A12/AGTR1/CXCR2/CYP19A1/CORO1B/CALR/VAV3/CCL22/MTUS1/HOXB9/PPIB/EGR3/THBS4/BST1/LGALS9/LGMN/IL34/TRPM4/TMEM102/CCR10/JAML/TGFB2/PDGFB/IL23A/SCG2/CXCR1/HGF/NBL1/ARRB2/XCR1/PPBP/CX3CL1/RIPOR2/CCL28/VEGFB/EDN3/FFAR2/FGF2/PDGFRB/MDK
