ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04060,Cytokine-cytokine receptor interaction,210,0.6051415301647314,2.9342045035473956,7.872841376317289e-29,2.78698584721632e-26,1.4999834622246626e-26,3382,"tags=60%, list=21%, signal=48%",CLCF1/TNFRSF1A/FAS/TNFRSF14/IL13RA1/CXCL14/CSF1/IL17RC/IL15/CSF3/CCL2/TNFSF14/CXCL5/LTBR/TGFBR2/CCR2/CXCL3/LIF/TNFRSF1B/OSMR/IL4R/TNFSF13/CXCR4/IL2RA/TNFRSF11B/IL7R/IL15RA/IL1R1/CCR5/CSF3R/CCL20/TGFB3/TNFSF4/GDF15/CD4/CXCL13/CSF1R/IL10/TNFSF8/OSM/CXCL1/CCR1/IL32/CCL26/TNFRSF11A/CCL5/IL2RB/TSLP/CSF2RB/CXCL6/TNFSF10/IL10RA/IL18R1/TNFRSF18/TNFRSF12A/CXCL16/IL16/IL18/CD70/CTF1/CXCL2/CCL18/IL6/CD40/TNFSF13B/CCL7/IL1A/IFNGR2/TNFRSF10A/IL20RA/IL31RA/TNFRSF10C/CXCL8/IL1B/IL12RB1/IL21R/IL6R/TGFB1/CXCL10/CCR4/TNFRSF10B/CXCL11/TNFRSF10D/TNFRSF9/IL1R2/IL17RA/IL22RA1/CXCR3/CCL8/TNFSF12/TNFRSF8/CXCL12/CSF2RA/CCL13/CXCR2/EDA2R/IL11/GDF5/EBI3/IL1RL1/IL1RN/IFNGR1/IFNLR1/IL36B/CCL22/IL18RAP/EPOR/IL2RG/IL6ST/TNFSF15/IL34/PRLR/CCR10/TGFB2/IL7/IL23A/NGF/CXCR1/IL27RA/ACVR1/XCR1/INHBB/PPBP/CX3CL1/IL1RL2/LTB/CCL28
hsa04061,Viral protein interaction with cytokine and cytokine receptor,75,0.7337074901107152,3.0696920602054907,6.2002721698275065e-21,1.0974481740594687e-18,5.906575067046204e-19,3382,"tags=79%, list=21%, signal=63%",TNFRSF1A/TNFRSF14/CXCL14/CSF1/CCL2/TNFSF14/CXCL5/LTBR/CCR2/CXCL3/TNFRSF1B/CXCR4/IL2RA/CCR5/CCL20/CXCL13/CSF1R/IL10/CXCL1/CCR1/CCL26/CCL5/IL2RB/CXCL6/TNFSF10/IL10RA/IL18R1/IL18/CXCL2/CCL18/IL6/CCL7/TNFRSF10A/IL20RA/TNFRSF10C/CXCL8/IL6R/CXCL10/CCR4/TNFRSF10B/CXCL11/TNFRSF10D/IL22RA1/CXCR3/CCL8/CXCL12/CCL13/CXCR2/CCL22/IL18RAP/IL2RG/IL6ST/IL34/CCR10/CXCR1/XCR1/PPBP/CX3CL1/CCL28
hsa04621,NOD-like receptor signaling pathway,154,0.5851328463382521,2.7463837219172373,1.9816222472800627e-19,2.338314251790474e-17,1.2585039535357594e-17,2903,"tags=49%, list=18%, signal=40%",TRIP6/CARD16/GSDMD/CASP8/CASP4/CASP1/NAMPT/CCL2/BIRC3/GBP1/CAMP/CXCL3/TNFAIP3/CTSB/TANK/GBP3/IKBKE/RIPK1/CARD6/TRPM2/PYCARD/CXCL1/NOD2/NFKB1/CCL5/STING1/PLCB2/MAP1LC3C/CYBA/ANTXR2/IRF3/NLRP3/IL18/TICAM1/PRKCD/CXCL2/NFKBIA/CYBB/MAPK13/IL6/NLRP12/NLRP1/RIPK3/TRPV2/CASP5/GPSM3/NLRX1/CXCL8/IL1B/GBP4/GBP5/PSTPIP1/JUN/NLRP6/CARD9/IFI16/OAS1/OAS2/MYD88/TRAF5/IKBKB/IRAK4/RBCK1/MEFV/BCL2L1/STAT2/OAS3/GBP2/NLRC4/IRF7/ITPR3/VDAC1/RNASEL/TLR4/NAIP
hsa05150,Staphylococcus aureus infection,56,0.7682801438558274,3.061586590999198,5.379377892311886e-19,4.0873464328378565e-17,2.1998504440786563e-17,1927,"tags=68%, list=12%, signal=60%",FCGR2B/C1R/C1S/C5AR1/FCGR2A/CFH/CAMP/CFI/ITGB2/ICAM1/ITGAM/FCGR3A/FPR2/C3/IL10/C3AR1/C2/HLA-DMA/C1QA/C1QC/FPR1/SELPLG/C1QB/HLA-DPB1/FCAR/HLA-DRB1/CFD/HLA-DMB/HLA-DQB1/HLA-DOA/FCGR1A/HLA-DRA/PTAFR/FPR3/HLA-DQA1/CFB/KRT18/HLA-DPA1
hsa04380,Osteoclast differentiation,130,0.6110087152738638,2.7997822367051826,5.773088181974374e-19,4.0873464328378565e-17,2.1998504440786563e-17,2915,"tags=58%, list=18%, signal=48%",FCGR2B/TNFRSF1A/RELB/CSF1/FCGR2A/LILRB2/TGFBR2/FOSL1/TNFRSF11B/LILRA5/SQSTM1/OSCAR/IL1R1/NFATC2/SOCS1/FCGR3A/NFKB2/SOCS3/NCF2/LCP2/CSF1R/NCF4/LILRB1/TEC/NFKB1/TNFRSF11A/JUNB/LILRB3/LOC102725035/LOC107987425/LOC107987462/FOSL2/CYBA/PLCG2/SPI1/NCF1/NFKBIA/MAPK13/LCK/BTK/IL1A/PIK3CD/IFNGR2/SIRPA/TMEM64/FCGR1A/IL1B/SYK/TGFB1/JUN/LILRA6/TYROBP/LILRA1/MAP3K14/LILRB4/LILRA2/IKBKB/PPARG/ATP2A3/IFNGR1/STAT2/GRB2/SIRPG/MAP2K1/FOSB/FHL2/ACP5/TREM2/ITPR3/SIRPB1/BLNK/FOS/LILRB5/TGFB2/FCGR3B
hsa04640,Hematopoietic cell lineage,78,0.7011045057782181,2.9472909446992244,2.7837840766647586e-18,1.6424326052322076e-16,8.839735401338971e-17,3267,"tags=74%, list=20%, signal=60%",CSF1/CD44/CSF3/IL4R/CD14/IL2RA/CD7/IL7R/CD33/IL1R1/ITGA5/CSF3R/ITGAM/CD4/CSF1R/MME/HLA-DMA/ANPEP/CR1/ITGA3/HLA-DPB1/HLA-DRB1/IL6/IL1A/HLA-DMB/CD2/HLA-DQB1/HLA-DOA/CD3E/FCGR1A/HLA-DRA/CD1D/IL1B/CD3G/IL6R/CD59/ITGA2/CD3D/CD37/IL1R2/HLA-DQA1/CD55/HLA-DPA1/CD8B/CSF2RA/IL11/CD5/EPOR/ITGA4/CD34/IL7/FLT3/ITGA6/KITLG/TFRC/HLA-DRB5/HLA-DQB2/ITGB3
hsa04610,Complement and coagulation cascades,65,0.7302405553972587,2.9844994550181045,3.924112941735012e-18,1.984479973391706e-16,1.0680668307579508e-16,1944,"tags=58%, list=12%, signal=52%",C1R/SERPINA1/PLAUR/C1S/C5AR1/CFH/CFI/SERPING1/F3/ITGB2/SERPINE1/CLU/ITGAM/C3/PROS1/THBD/F13A1/PROCR/C3AR1/C2/C1QA/CR1/VSIG4/C1QC/BDKRB2/C1QB/C7/F2RL2/A2M/CFD/PLAU/C4BPA/CD59/C6/F8/CFB/CD55/ADTRP
hsa04064,NF-kappa B signaling pathway,98,0.6375795720105496,2.795780506833092,3.4910752821727586e-17,1.5448008123614457e-15,8.314271395700913e-16,2162,"tags=51%, list=13%, signal=44%",TNFRSF1A/RELB/TNFSF14/BIRC3/LTBR/CXCL3/TNFAIP3/CD14/LYN/IL1R1/ICAM1/LBP/RIPK1/GADD45B/NFKB2/LY96/TRADD/CXCL1/NFKB1/TNFRSF11A/PTGS2/BCL2A1/CFLAR/GADD45A/PLCG2/TICAM1/CXCL2/NFKBIA/LCK/BTK/CD40/TNFSF13B/PLAU/TRAF1/CARD11/IRAK1/PPP1R13L/CXCL8/IL1B/VCAM1/SYK/MAP3K14/MYD88/TRAF5/IKBKB/CXCL12/IRAK4/CCL13/EDA2R/BCL2L1
hsa05168,Herpes simplex virus 1 infection,155,0.562940723339699,2.6415895953337327,8.394234332102209e-17,3.301732170626869e-15,1.7770250457432747e-15,3477,"tags=52%, list=21%, signal=41%",TNFRSF1A/SP100/FAS/CASP8/TNFRSF14/TAPBP/CCL2/TNFSF14/BST2/BIRC3/TAPBPL/TLR2/HLA-E/ITGA5/IKBKE/SOCS3/C3/NECTIN2/TRADD/PML/NFKB1/CCL5/STING1/HLA-DMA/HLA-A/PDIA3/IRF3/PILRA/HLA-DPB1/HLA-C/TICAM1/NFKBIA/CD74/HLA-DRB1/IL6/HLA-B/HLA-DMB/PIK3CD/IRAK1/HLA-DQB1/IFNGR2/B2M/HLA-DOA/HLA-DRA/IL1B/SYK/TLR3/HLA-F/CARD9/TAP1/OAS1/OAS2/HLA-DQA1/POU2F3/MYD88/HLA-DPA1/TAP2/TRAF5/IKBKB/IRAK4/IFIH1/BCL2L1/CALR/IFNGR1/STAT2/OAS3/NXF3/IRF7/PPP1CB/HLA-G/CASP3/RNASEL/ZC3HAV1/HLA-DRB5/HLA-DQB2/ITGB3/BAK1/TYK2/BAX/IFNAR1/POU2F2
hsa05152,Tuberculosis,153,0.5607813969161483,2.6296941143928607,1.3347430216969683e-16,4.724990296807268e-15,2.5430367044963295e-15,3283,"tags=52%, list=20%, signal=42%",FCGR2B/TNFRSF1A/CASP8/MRC2/TCIRG1/VDR/CLEC7A/FCGR2A/PLK3/CAMP/TLR2/CD14/ITGB2/TGFB3/LAMP2/ITGAM/LBP/IRAK2/CEBPB/FCGR3A/C3/CTSS/IL10/TRADD/NOD2/NFKB1/HLA-DMA/LSP1/CR1/IL10RA/FCER1G/NOS2/CTSD/HLA-DPB1/CASP10/IL18/CORO1A/CD74/TLR1/HLA-DRB1/MAPK13/IL6/IL1A/HLA-DMB/IRAK1/HLA-DQB1/IFNGR2/MRC1/HLA-DOA/FCGR1A/HLA-DRA/IL1B/TLR6/SYK/TGFB1/CALML6/LAMP1/CARD9/HLA-DQA1/MYD88/CAMK2D/HLA-DPA1/IRAK4/CIITA/IFNGR1/PLA2R1/CD209/CASP3/SPHK1/TGFB2/IL23A/TLR4/MALT1/FCGR3B/HLA-DRB5/ITGAX/HLA-DQB2/ATP6AP1/RHOA
