ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04110,Cell cycle,157,-0.47475431459413064,-2.412027972408294,7.168957230162988e-12,1.0574211914490407e-10,5.691145871313601e-11,4828,"tags=58%, list=30%, signal=41%",PRKDC/MCM5/STAG2/PCNA/PPP2R5B/CREBBP/PPP2R5C/MTBP/NIPBL/STAG1/HDAC8/PPP2R1A/ANAPC1/FZR1/CHEK2/CDC23/E2F5/MYC/ABL1/CCND2/ANAPC7/ORC4/MCM4/CDC14B/SMAD2/PDS5B/MDM2/PPP2R5E/CCNH/CDC20/SMC1A/CDC14C/CCNB1/CDT1/CCNE2/CDKN1B/PTTG1/CDK1/CDC6/SMAD4/DDX11/CHEK1/MCM2/E2F3/PLK1/MAD2L1BP/E2F1/CDCA5/ANAPC5/RBL1/NDC80/TRIP13/CCNB2/ZBTB17/DBF4/CDKN1C/BUB1/SMC3/TFDP2/BUB3/FBXO5/MAD2L2/CCNB3/CDC45/PPP2R5D/BUB1B/DBF4B/CCND1/CCNA2/RAD21/CDKN2D/MAD2L1/ESPL1/ESCO2/KNL1/TTK/AURKB/ORC1/CDC25C/CDC7/MCM7/ORC6/PKMYT1/SGO1/TICRR/HDAC2/GSK3B/E2F2/GADD45G/CDC25A/CDK4
hsa03040,Spliceosome,142,-0.4356857319957741,-2.1639688267679946,5.831576384334736e-9,5.4514163141716894e-8,2.9340064016208022e-8,6563,"tags=56%, list=41%, signal=34%",LSM3/HNRNPA1L3/DDX42/RBMX2/TRA2A/U2AF2/THOC2/SRSF6/SF3A2/RBM25/LSM2/DDX39B/SF3B2/AQR/PRPF40B/THOC6/PQBP1/RBM17/HNRNPM/CCDC12/DDX5/HNRNPA3/SNRPC/SNRPB/LSM4/SART1/RP9/DHX8/PRPF4/DHX38/ACIN1/SRSF1/PRPF6/PRPF8/SNRNP200/PRPF38A/XAB2/SNRNP40/PPIH/SNRPA/THOC3/SF3B1/SRSF8/CRNKL1/SRSF7/TXNL4A/PRPF40A/PPIL1/RBMXL1/YJU2/SRSF3/HNRNPK/SRSF10/THOC1/SNRPD1/ALYREF/PUF60/HNRNPA1L2/CDC40/PRPF3/RBM8A/LSM7/HNRNPC/PRPF18/HNRNPA1/LSM8/CASC3/HNRNPU/CDC5L/THOC5/U2SURP/BUD13/DDX46/SF3B3/NCBP1/DHX15/TRA2B/TCERG1/SNRPD3/RBMX
hsa03013,Nucleocytoplasmic transport,103,-0.46421320571706676,-2.164392102074065,1.2492412759115443e-7,9.025130850462993e-7,4.857415057787102e-7,5865,"tags=59%, list=36%, signal=38%",DDX39B/EEF1A1/THOC6/IPO4/TPR/KPNA3/NUP85/TNPO2/NUP205/NUP153/RAN/NUP50/KPNB1/TMEM33/XPO6/ACIN1/TNPO3/UPF3A/IPO7/PNN/IPO5/NUP160/NUP43/THOC3/UPF2/RAE1/KPNA1/IPO9/GLE1/NUP58/DDX19B/RNPS1/THOC1/KPNA2/XPO4/RANGAP1/ALYREF/XPO1/NUP214/RBM8A/NUP155/AAAS/EEF1A2/NUP188/CASC3/XPO7/NUP107/NUP210L/THOC5/NDC1/NUP133/CSE1L/NCBP1/KPNA5/RANBP17/XPO5/NUP35/SENP2/NUP42/NUP88/NUP93
hsa03082,ATP-dependent chromatin remodeling,107,-0.4530152393301289,-2.1346467886240577,1.3195201423501862e-7,9.323451361774091e-7,5.017974119777314e-7,4731,"tags=52%, list=29%, signal=37%",BICRAL/H2AC13/BACC1/BAZ2B/H2AZ1/NFRKB/H2AC21/H2AC12/H2AC4/H2AC20/H2AC16/H2AX/MTA1/H2AC6/BRD8/ARID2/H2AC8/SMARCC2/BPTF/BAZ1A/H2AC11/RUVBL1/ING3/BRD9/H2AZ2/CECR2/MTA2/ARID1A/ARID1B/SMARCB1/ACTL6A/SMARCE1/ACTR8/CHD3/EPC2/RBBP4/RSF1/SMARCA5/ACTR5/MTA3/PBRM1/VPS72/BRD7/SMARCD1/PHF6/GATAD2B/SMARCA4/H2AC25/EPC1/HDAC2/DPF1/SMARCC1/ACTL6B/SS18L1/MACROH2A2/BCL7A
hsa03460,Fanconi anemia pathway,51,-0.5660098232624433,-2.2916444622237404,9.637395270146652e-7,5.502641815535347e-6,2.9615764752063568e-6,4752,"tags=61%, list=29%, signal=43%",RMI1/BRCA1/TOP3B/USP1/POLH/POLI/ERCC4/REV1/PALB2/FAAP100/ATRIP/BRCA2/FANCA/TOP3A/MLH1/REV3L/SLX4/RAD51C/RAD51/FANCE/FANCL/FANCC/FANCB/FANCM/UBE2T/BRIP1/FANCI/FANCG/EME1/WDR48/FANCD2
hsa05034,Alcoholism,161,-0.38583822079177854,-1.9660742261635615,1.1430274875255613e-6,6.322370790375761e-6,3.402762750692872e-6,4837,"tags=56%, list=30%, signal=40%",H3C8/H2BC6/H2BC13/HDAC10/H3C7/H2AC13/H3C11/H2AZ1/HDAC8/PDYN/H2AC21/H2AC12/H4C5/H3C3/H2BC4/H2AC4/H4C1/SOS1/GRIN1/H2BC3/H2BC9/BRAF/CREB3L4/CALM3/H3C1/H3C15/H2BC12L/LOC102724334/H4C3/KRAS/H2AC20/H3C12/H3C13/HDAC4/GNB3/H2AC16/H3C10/H2BC18/H2AX/H3C2/H4C8/H2AC6/H4C11/ADORA2A/H4C12/GNG3/H4C14/GNAO1/H2BC8/H3C14/HDAC9/H2AC8/CAMKK2/H2BC17/TH/H2BC7/H2AC11/H3C6/CREB1/H2BC12/H2BC11/H2BC5/H2AZ2/NPY/GRIN2B/H2BC15/GRIN2D/DDC/SOS2/H4C15/GNB4/DRD2/HDAC5/CAMK4/H2BC21/H2BC26/GNAI1/GRIN3A/GNG13/PKIA/SHC3/RAF1/H2AC25/ADCY5/SLC18A1/H3-3A/HDAC2/GNG4/MACROH2A2/GNG2
hsa04724,Glutamatergic synapse,108,-0.4227231469372097,-1.9924823539810612,4.121273626478641e-6,2.0841869482477698e-5,1.1217301148761415e-5,3488,"tags=40%, list=22%, signal=31%",ADCY1/PPP3CB/KCNJ3/PRKCG/GNG3/GRK3/SHANK3/GNAO1/GRM5/CACNA1A/CACNA1D/GRM8/GRIN2B/TRPC1/GRIA3/SHANK1/GRIN2D/GRM7/SLC1A7/GRM4/GNB4/GRM6/GRIK4/GRIK3/GNAI1/GRIN3A/GRM2/GNG13/ADCY5/SLC38A1/SHANK2/DLGAP1/PLCB4/SLC17A6/SLC17A8/GRIK2/GRIA2/GRIA4/PLCB1/GNG4/SLC1A6/GNG2/SLC1A1
hsa05033,Nicotine addiction,37,-0.5822705038642263,-2.191312692459631,1.3054622939799959e-5,6.245049352282684e-5,3.3611475847849114e-5,2579,"tags=43%, list=16%, signal=36%",CACNA1A/SLC32A1/GRIN2B/GRIA3/GRIN2D/GABRQ/GRIN3A/CACNA1B/GABRB3/GABRA3/SLC17A6/CHRNB2/SLC17A8/GRIA2/GRIA4/CHRNA4
hsa04082,Neuroactive ligand signaling,172,-0.34299376029177414,-1.7668321654118413,4.6719531181909416e-5,2.0935081061260674e-4,1.1267468546203338e-4,3506,"tags=35%, list=22%, signal=28%",SLC6A4/GABRB2/ADCY1/ADORA2A/PRKCG/GNG3/SLC18A3/GNAO1/ADRA2C/HTR1A/HTR5A/TAC4/GRM5/SLC32A1/GRM8/CHAT/HTR6/P2RX3/GRIN2B/GRIA3/GRIN2D/GRM7/SLC1A7/GRM4/GABRQ/GNB4/GABBR1/GRM6/DRD2/GNAL/GRIK4/GRIK3/OPRM1/GNAI1/GRIN3A/CHRM1/GRM2/GNG13/OPRD1/CHRNA3/GABRB3/ADCY5/PLCB4/SLC18A1/HRH3/GLRA3/GABRA3/SLC17A6/CHRNB2/SLC17A8/GRIK2/GRIA2/CHRM2/GRIA4/PLCB1/GNG4/SLC1A6/CHRNA4/GNG2/SLC1A1
hsa03083,Polycomb repressive complex,82,-0.4298837598808137,-1.928630164100859,4.798968832381175e-5,2.1235437083286698e-4,1.1429123140276221e-4,3893,"tags=38%, list=24%, signal=29%",USP45/SFMBT1/ASXL1/WDR5/LCOR/HCFC1/L3MBTL1/WDR5B/MBD5/RNF2/FOXK2/RBBP4/USP7/CBX4/JARID2/PCGF3/EZH2/PHC1/MBD6/AURKB/EPOP/MTF2/HDAC2/SCML2/KDM2B/BCOR/DCAF7/ASXL3/TEX10/CBX2/CBX8
