Pathway,CellType,rho,p_value,p_adjust,Subtype
MesWoundHealing__cytokine.mediated.signaling.pathway,AC,-0.09757910906298001,0.2789889804848729,0.32586827638601956,ME
MesWoundHealing__adaptive.immune.response,AC,-0.06751459293394776,0.4543956506687966,0.509853387561445,ME
MesWoundHealing__positive.regulation.of.cytokine.production,AC,-0.0847926267281106,0.3471247537242035,0.39731146510601606,ME
MesWoundHealing__leukocyte.mediated.immunity,AC,-0.05614132104454684,0.5340313404256363,0.589918341167854,ME
MesWoundHealing__leukocyte.migration,AC,-0.08351459293394775,0.354466779860798,0.4040921290413097,ME
Proliferation__chromosome.segregation,AC,-0.28905683563748075,0.001077876717283793,0.0021786869817438373,ME
Proliferation__nuclear.chromosome.segregation,AC,-0.26089093701996924,0.0032968310970273246,0.006101278328914205,ME
Proliferation__sister.chromatid.segregation,AC,-0.24223041474654375,0.006495344472340865,0.011138094934154777,ME
Proliferation__nuclear.division,AC,-0.2800184331797234,0.0015627508074526565,0.0031145732875804692,ME
Proliferation__mRNA.processing,AC,-0.18761290322580643,0.03615809601044639,0.05002455030571466,ME
Neural__central.nervous.system.neuron.differentiation,AC,0.2543102918586789,0.004210830967567628,0.0076438651322087514,ME
Neural__regulation.of.postsynaptic.membrane.potential,AC,0.19917050691244237,0.025961814056503493,0.037181492492982395,ME
Neural__synapse.assembly,AC,0.19005837173579104,0.03375719556466528,0.04762772641549309,ME
Neural__regulation.of.synapse.structure.or.activity,AC,0.22664208909370193,0.011033279347702598,0.017665643899411464,ME
Neural__axonogenesis,AC,0.2502672811059908,0.004879187267273237,0.008691052319830453,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,MES,0.6536774193548386,1.4092724614606122e-16,1.7462723978968458e-15,ME
MesWoundHealing__adaptive.immune.response,MES,0.576079877112135,2.0792815690833028e-12,1.742927197613945e-11,ME
MesWoundHealing__positive.regulation.of.cytokine.production,MES,0.6268571428571428,5.2726943035347186e-15,6.010871506029579e-14,ME
MesWoundHealing__leukocyte.mediated.immunity,MES,0.5988079877112134,1.6309655858650767e-13,1.5494173065718229e-12,ME
MesWoundHealing__leukocyte.migration,MES,0.6966144393241166,1.8687529928010126e-19,3.550630686321924e-18,ME
Proliferation__chromosome.segregation,MES,-0.46663594470046077,4.13244224709397e-8,1.8995903877770668e-7,ME
Proliferation__nuclear.chromosome.segregation,MES,-0.46237173579109053,5.686596750017517e-8,2.455575869325746e-7,ME
Proliferation__sister.chromatid.segregation,MES,-0.45770199692780333,8.026588990050331e-8,3.3640850914181536e-7,ME
Proliferation__nuclear.division,MES,-0.4897818740399385,6.7567632085951894e-9,3.43870984723148e-8,ME
Proliferation__mRNA.processing,MES,-0.4958095238095237,4.122591440159191e-9,2.175812148972906e-8,ME
Neural__central.nervous.system.neuron.differentiation,MES,-0.44683256528417814,1.755476356597252e-7,7.046630445496012e-7,ME
Neural__regulation.of.postsynaptic.membrane.potential,MES,-0.3311520737327188,1.6181233970225464e-4,3.92682659616193e-4,ME
Neural__synapse.assembly,MES,-0.47098617511520724,2.970317958575216e-8,1.3877715052359616e-7,ME
Neural__regulation.of.synapse.structure.or.activity,MES,-0.5047803379416281,1.9410367921672716e-9,1.0846970309170046e-8,ME
Neural__axonogenesis,MES,-0.5358709677419354,1.1964731512720771e-10,8.316947514940048e-10,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,NPC,-0.5887434715821812,5.159419443208854e-13,4.595107941607886e-12,ME
MesWoundHealing__adaptive.immune.response,NPC,-0.5374254992319507,1.0330478392338244e-10,7.360465854540999e-10,ME
MesWoundHealing__positive.regulation.of.cytokine.production,NPC,-0.564958525345622,6.7379025024482075e-12,5.053426876836156e-11,ME
MesWoundHealing__leukocyte.mediated.immunity,NPC,-0.5324608294930875,1.6469842105328589e-10,1.043090000004144e-9,ME
MesWoundHealing__leukocyte.migration,NPC,-0.56268509984639,8.522712222859645e-12,6.228135855166664e-11,ME
Proliferation__chromosome.segregation,NPC,0.47445161290322574,2.275776580905145e-8,1.0993158060304513e-7,ME
Proliferation__nuclear.chromosome.segregation,NPC,0.48059600614439313,1.4088185632001816e-8,6.922642939862961e-8,ME
Proliferation__sister.chromatid.segregation,NPC,0.48223041474654366,1.2381141302380461e-8,6.19057065119023e-8,ME
Proliferation__nuclear.division,NPC,0.46427649769585244,4.933497220897952e-8,2.1969479811811193e-7,ME
Proliferation__mRNA.processing,NPC,0.41784331797235014,1.244683120873316e-6,4.273911921071025e-6,ME
Neural__central.nervous.system.neuron.differentiation,NPC,0.49018125960061437,6.541083852776672e-9,3.389470723711548e-8,ME
Neural__regulation.of.postsynaptic.membrane.potential,NPC,0.2952503840245775,8.297387043995194e-4,0.0017433597188425364,ME
Neural__synapse.assembly,NPC,0.4982611367127496,3.3628199060679783e-9,1.808308817413913e-8,ME
Neural__regulation.of.synapse.structure.or.activity,NPC,0.5176589861751151,6.331817210030868e-10,3.759516468455828e-9,ME
Neural__axonogenesis,NPC,0.5355821812596006,1.2294649631186505e-10,8.342797964019414e-10,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,OPC,-0.38307219662058367,1.0372988612262825e-5,3.047733767520521e-5,ME
MesWoundHealing__adaptive.immune.response,OPC,-0.33961904761904754,1.0674431530759392e-4,2.716261594880738e-4,ME
MesWoundHealing__positive.regulation.of.cytokine.production,OPC,-0.3452657450076804,8.034107574131405e-5,2.081564235115864e-4,ME
MesWoundHealing__leukocyte.mediated.immunity,OPC,-0.3122703533026113,3.9217022655910585e-4,8.719937000351678e-4,ME
MesWoundHealing__leukocyte.migration,OPC,-0.3274408602150537,1.9344999846017988e-4,4.594437463429272e-4,ME
Proliferation__chromosome.segregation,OPC,0.17064823348694313,0.05707723370170607,0.07496318711975221,ME
Proliferation__nuclear.chromosome.segregation,OPC,0.18325652841781873,0.04079137587643531,0.05562460346786633,ME
Proliferation__sister.chromatid.segregation,OPC,0.1870168970814132,0.03676455349016741,0.05037450838796977,ME
